EntityID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity
112824700230101310,,741.789621873603,6570.07493946904,1216.08158752955,6564.69276208614,1211.60971057626,6575.39251729035,1220.55922246603,1.30419298772056,165,0.434919260946118,7
112824700230101312,,472.721691657148,6720.55946125453,1215.93468917117,6716.61113406111,1212.38389142439,6724.68934293372,1219.73275470081,1.31706380226768,122,0.544968464868561,7
112824700230101313,,394.707202723058,6774.30824048436,1215.22608498348,6770.62790360561,1212.05368064228,6778.47466358645,1218.27820204052,1.26296116982422,176,0.594859436608679,7
112824700230101314,,273.701258580375,6523.27475702371,1216.66538404874,6520.10508263666,1213.45722241248,6526.69262174524,1219.26977228443,1.19758673059924,52,0.734641684839822,7
112824700230101315,,472.231830872605,6670.5033185242,1216.73873384162,6665.96108282845,1213.34990559195,6675.12400188353,1219.80396846618,1.44913856806389,32,0.559611474440458,6.90405951471826
112824700230101316,,516.639895241005,6692.00948554374,1218.17490446099,6688.46098454248,1214.07701711112,6695.82646459198,1222.1178758619,1.15461117828512,133,0.531177500371528,7
112824700230101317,,1229.97518398755,6781.15091349789,1221.37922771597,6775.48687495833,1213.87761714998,6786.64156169269,1228.55738968181,1.47186301664261,260,0.36518051217482,6.50140741333959
112824700230101322,,575.646559164901,6685.50563681305,1220.31128292353,6682.18591663882,1214.89252329693,6688.75902737057,1225.8575009035,1.78830408794455,106,0.526872205737023,6.91611312392283
112824700230101323,,361.161874706736,6707.96213598545,1217.90824429005,6704.56205020942,1214.86778910043,6711.77383878218,1220.81053954604,1.2418150841849,82,0.622827100634444,7
112824700230101325,,298.290016016105,6744.13693357713,1218.63392766557,6740.93504793153,1215.4077668561,6746.96854852606,1221.53005643598,1.03012020077184,67,0.688890349775175,6.92130359908308
112824700230101328,,481.521593821431,6765.14468076522,1220.48493285222,6761.12283408894,1216.27784946468,6768.66267788242,1225.78050556416,1.49562329731569,150,0.586895706504061,6.54984825035766
112824700230101329,,312.013873538129,6637.281025224,1219.85179764956,6634.03614499525,1216.70990713847,6640.73929634044,1223.24536992329,1.29579682203757,64,0.677125131523804,7
112824700230101330,,819.57574671159,6789.1936417238,1222.96335606119,6785.02160740345,1217.298130285,6794.9314922966,1228.59336527065,1.10495363979341,227,0.434034624200361,6.72764001084639
112824700230101331,,656.578501990573,6678.54409327194,1222.38743631698,6674.10873706693,1217.5374326356,6682.30888294459,1227.66438251525,1.35446741062894,46,0.471157176283744,7
112824700230101333,,592.677601795898,6498.55324683886,1222.12736588445,6494.08491665847,1217.88989747515,6503.35777248823,1226.26364869578,1.11206939123899,153,0.486285805614145,6.94759244651258
112824700230101334,,844.168326228665,6526.0532445616,1222.17063105201,6519.15403214019,1217.87345254188,6532.34436444199,1227.03941068222,1.45325620789878,262,0.437327898402824,6.75987960648241
112824700230101335,,425.857214505988,6772.21365965962,1221.38539935886,6768.23004248346,1218.40580787537,6776.24308212593,1224.77604481009,1.5116434019416,105,0.591354977562352,7
112824700230101337,,1101.99763112467,6544.91014778863,1225.60383682483,6538.24857067613,1219.29881504326,6551.26688839194,1231.35765158908,1.05462909375065,404,0.360105676486682,6.89762441409254
112824700230101339,,644.018938343764,6718.80746228434,1223.31477847441,6712.57714321206,1219.46070146563,6725.27024947246,1227.03782954373,2.06395332240918,206,0.511632731680131,6.87956992224025
112824700230101340,,469.164343116416,6656.17897952712,1223.58606920385,6652.40134959113,1219.75232309788,6660.29546718135,1227.57780729939,1.27115733758069,291,0.547839085172946,7
