,fov,volume,center_x,center_y,min_x,max_x,min_y,max_y
167667106615390201020758866274411077631,0,520.617486243742,2484.30409836399,-81.1416868727672,2478.96192944018,2489.6462672878,-86.4800218198691,-75.8033519256653
174627414175032084781820488030633152446,0,447.668491978609,2411.66139942121,-13.9785125532917,2406.27804308209,2417.04475576034,-18.688768497381,-9.26825660920245
176655678213447768804815131844980990490,0,816.741340799797,2522.51789509625,-99.2190120964881,2516.6743786495,2528.36141154299,-106.683484404447,-91.754539788529
182821699654210263744722593456033904260,0,530.006309243389,2504.9885285955,-58.9519179058021,2500.12860315994,2509.84845403106,-65.0923132756773,-52.8115225359269
185124112644897806073642330761610825048,0,404.259142414615,2438.88571523295,-25.8124493128792,2434.71065080229,2443.06077966359,-31.2051208381711,-20.4197777875873
185739702159022622898788323419148643252,0,322.25296801238,2618.27233388468,23.8671531002796,2614.61417196885,2621.93049580051,18.4727037077256,29.2616024928337
187887884099719578909540118773458181025,0,187.997272664846,2478.02169800005,-43.243792832045,2474.88282597268,2481.16057002742,-46.7439595415195,-39.7436261225705
205615321634596395991489860864981671980,0,2231.46893657239,2547.21929981084,-21.5442517979471,2535.78890640252,2558.64969321916,-33.0384177101591,-10.0500858857351
206542342150544290433463466371123282630,0,212.155001628688,2607.70935848935,16.0194199895286,2603.1780275311,2612.2406894476,13.0273174845078,19.0115224945494
207404340115967227626910917264192100105,0,871.507767855198,2533.49058858217,96.3151771098863,2527.77617897113,2539.2049981932,88.7375371967574,103.892817023015
208908576635647802405006420706686213106,0,546.644801533138,2421.35799515563,-15.3738746275202,2415.72446883835,2426.99152147291,-20.608166718405,-10.1395825366354
210810765088868011513134892184734931375,0,242.116056577726,2512.53611951297,-84.3882183328133,2508.95988110016,2516.11235792578,-87.9931358621326,-80.783300803494
22780867168834012508669660666048912046,0,713.985614542117,2439.38796920427,94.7101766526267,2431.03419679688,2447.74174161166,88.3211075265799,101.099245778673
22864655694952952713038198958927903779,0,89.4105620217732,2486.58104326743,-36.9374293660305,2483.11312574424,2490.04896079062,-39.1771993710512,-34.6976593610098
233449088869074577182577481610575375090,0,543.733975306005,2497.63651762801,-89.7685024014637,2492.46650252942,2502.80653272659,-95.6193105887691,-83.9176942141583
238572624011914153923247319416223980474,0,868.760614912483,2466.03897598513,-27.7981189921509,2458.84817355139,2473.22977841886,-34.9804485908679,-20.6157893934339
